1,"2,4,6"
2,"1,4,5,3"
3,"2,5,7,8"
4,"1,6,5,2"
5,"4,6,10,11,9,7,3,2"
6,"1,4,5,10,12"
7,"5,9,16,8,3"
8,"3,7,16,17"
9,"5,11,15,16,7"
10,"6,12,11,5"
11,"10,12,13,14,15,9,5"
12,"6,10,11,13,25,28,29,30"
13,"12,25,14,11"
14,"13,25,24,19,15,11"
15,"11,14,19,18,16,9"
16,"9,8,7,15,18,17"
17,"8,16,18,20"
18,"15,19,21,20,17,16"
19,"14,19,23,18,15,21"
20,"17,18,21"
21,"20,18,19,23,22"
22,"21,23"
23,"19,21,22,24"
24,"25,14,23"
25,"24,14,13,12,26,27,28"
26,"25,27"
27,"25,26"
28,"25,12,29"
29,"28,30,12"
30,"29,12"
